"","Hepatocytes_1","Hepatocytes_2","Endothelial","Kupffer","Stellate","Cholangiocyte","T_cell"
"TNFRSF21",0.0256101102190643,0.105329143768031,0.0558051374374052,0.207753773416063,0.246969536019282,0.62510067683997,0.0472578329390312
"TOX3",0.205725651771718,0.262770868398609,0.0430884937324763,0.0954041291350122,0.172500582619859,1.56149634024774,0.00864993033576486
"NID2",0.0318775499750547,0.0186812102138729,0.062591201428241,0.0119594613318693,0.722293019997961,0.0538888091042289,0.000785475028788564
"AL353740.1",0.0187505062974744,0.0758820464441613,0.0133749497171403,0.0193178939180538,0.0107877736570699,0.0823517552885759,0.016846493364151
"NR1H4",5.07990241093949,2.92558137592899,0.537247248036574,0.748528933481669,13.9257709086016,2.57195542998215,0.656958109662315
"COL5A1",0.0534788284698598,0.0812272429700283,0.153275918472311,0.0901053424590136,1.24647607087917,0.0723978244085264,0.312660933823368
"PCBP3",0.0414405274091672,0.0478554356013843,0.209272276233236,0.0838252181892727,0.473013310048715,0.0191915997502025,0.0931910459641937
"ARHGEF38",0.0320656206513195,0.0325453345877939,0.0284163948205049,0.0267504665977554,0.0320422278150106,0.893471961786884,-0.000692023748431671
"NPNT",0.0310846538155113,0.0516687019043507,0.0426562172242682,0.0176887563193497,0.166092062009107,1.16742114206461,0.0244220073014507
"AQP4-AS1",0.465167322015388,0.415643578423874,0.0737398906398316,0.119915652276594,0.143438953162786,2.98002255741791,0.123451146733411
"LINC01102",0.00863388074516646,0.014662465666771,1.00797542943225e-05,0.0112032103093092,0.0105098857894426,0.00119589430747535,0.0144623157723332
"PARD3",6.79671722193044,4.13745793617627,1.7507899027218,0.876184162829483,20.8024073630838,11.6412862873173,0.872094989561
"RGS16",0.0065653222925767,0.00892910254495613,0.0132255657592258,-0.00295688550254933,0.0969464032408024,0.00230029037888549,0.024738474193905
"TMEM26",0.0154871091492345,0.0429009874545848,0.0684996216653139,0.646521495295909,0.140885243860622,0.0182439891422008,0.0060646298740685
"DISC1FP1",0.300943354702924,0.427705564399194,0.724526107099856,0.252004691620961,0.135080165834229,0.131978536401275,0.459848694209285
"ARHGAP44",0.0828689350759031,0.0391741877689044,0.0661513936359699,0.0253510625741821,0.627210314426391,0.981254827362274,0.107630327671937
"ICAM1",0.0883991132748191,0.356985269831331,0.194915574230919,0.46854421151403,0.1766047456165,0.067521642756638,0.252234926301117
"LYPD6",0.0464868790897377,0.02076822279938,-0.0021342839363858,0.00562380746335716,0.0103930583963565,0.66304210227774,-7.77664733311547e-05
"COL13A1",0.00245249898033062,0.00479775370946812,0.0271852466788866,0.030028201040183,0.0304438766901139,0.00654435217610821,-0.00861866575003394
"UBE2QL1",0.0262980199664337,0.0198124504189098,0.0202353346261044,0.000836679631496464,0.0195266887435178,0.000271563316944085,0.000816147037294449
"CR1",0.036100078377192,0.101542528301665,0.0791719488445559,0.845970460086437,0.059080978423637,0.0312329302821415,0.0228799369331306
"TENM3",0.209292283488011,0.107043874079693,0.132241913473318,0.0830930181911185,0.302001933711354,0.080263334438306,0.0495281283495744
"PTPRD",1.73443929186278,1.05774425994844,0.21072408555004,0.23452291632803,1.01600490103034,7.18754756459334,0.654752114798292
"AL449403.2",0.0112862247489101,0.00881976712775884,0.00226168864126717,1.76093923493298e-05,9.49791511995662e-05,0.62078652788731,-3.02170911628721e-06
"KIF23",0.00341450942847496,0.0207909284685034,0.0104532877541963,0.0186530111768421,0.00602841522082815,0.0551947510734147,0.0902738094127679
"ARHGEF4",0.0709630125793,0.0708119878998851,0.0338445888841473,0.0357659278708565,0.0334563413335181,0.0192992040761467,0.00875011771608201
"GPNMB",0.0259801222065804,0.0795333170775999,0.0723174234976552,0.693366146407606,0.0748878628860328,0.0333007365441782,0.0638951810719924
"GDNF-AS1",0.0103824069582904,0.00453952064153023,0.0240288229623373,0.0130475310618589,0.078912881999104,4.81245941240808e-05,0.0314764689324306
"ADD2",0.0132630004315218,0.0247755806154843,0.0298108006899256,0.0198855010372696,0.00518371224183703,0.000745067033907034,0.0218220066493139
"DTL",0.0042641581936713,0.00922112041696239,0.0108247655471083,0.0102013248339669,0.0131863139178956,0.0111040315137822,0.0925871278863951
"FAM171B",-4.57711354444248e-05,0.00766930589894841,0.0761386515851583,-0.000105566373087003,0.0124020863194777,0.0541837769797014,0.0463353944307466
"CEMIP",0.0952142021391795,0.0881444997746167,0.0701785506401162,0.0642801576491603,0.690616084596888,0.0647381142375445,0.116050651468591
"SFTPB",0.00356301070346649,0.0154330110425115,0.0754878956362379,0.0184738876770185,0.061258079172088,0.0339840939609082,0
"STAB2",0.600966397273255,0.630200978013161,28.652157736629,0.220819629747473,0.365416021930797,0.36431257564645,0.3735391697869
"GALNTL6",0.149441296892388,0.0535618082776951,0.0963919760783051,2.24906919551194,0.117569639022168,0.101922568335024,0.0549799978854546
"ST6GALNAC3",0.987178835257746,0.952276470480269,38.7334289226097,0.737082508946344,0.766034216885899,0.655352609037505,0.756913874037684
