"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DOCK10",4.161862361547e-149,0.406341084236303,0.087,0.752,8.323724723094e-146
"CYP2B7P",1.72839170806268e-148,0.924775795041174,0.278,0.997,3.45678341612537e-145
"ELF3",1.40043396767429e-146,-0.537857660682174,0.01,0.342,2.80086793534858e-143
"MIR100HG",1.89091251463826e-143,0.98046853950025,0.275,0.987,3.78182502927651e-140
"CARMIL1",7.66427655763273e-139,0.300796226560788,0.075,0.348,1.53285531152655e-135
"KIAA1217",6.83427885582909e-137,0.537227359857738,0.193,0.865,1.36685577116582e-133
"RASD1",1.00424810979552e-136,-0.580716222991701,0.001,0.348,2.00849621959105e-133
"AC027796.3",4.70066187222687e-136,0.332261894118167,0.114,0.773,9.40132374445374e-133
"AC007221.2",9.67851848980316e-132,-0.544700275128367,0.033,0.35,1.93570369796063e-128
"SGK2",1.00042415956428e-131,0.285426393093038,0.13,0.786,2.00084831912856e-128
"SNX29P2",2.96564716034557e-131,0.341809590028905,0.179,0.838,5.93129432069114e-128
"RBMS3",4.44995866965623e-122,0.763783696517382,0.278,0.964,8.89991733931247e-119
"PDXDC2P-NPIPB14P",8.8298460586497e-121,0.391936894893839,0.204,0.858,1.76596921172994e-117
"TNFSF14",1.98102927292215e-115,-0.347023620224055,0.022,0.361,3.96205854584431e-112
"PRKCH",2.57771795088742e-112,0.489302225854676,0.104,0.742,5.15543590177484e-109
"AL033397.1",6.43700187595533e-112,0.421569872704819,0.233,0.884,1.28740037519107e-108
"DTNA",8.296607985209e-111,-0.452637623069157,0.032,0.364,1.6593215970418e-107
"SLC25A37",1.83271590843204e-110,0.364554535631621,0.1,0.372,3.66543181686407e-107
"PPARGC1A",9.52336459909329e-109,0.734437584311977,0.19,0.835,1.90467291981866e-105
"AC098650.1",2.20570513769399e-108,0.587985347796635,0.233,0.888,4.41141027538798e-105
"CPM",3.04072879932869e-108,0.400407178583045,0.161,0.383,6.08145759865738e-105
"LINC00907",9.70261088575094e-108,1.13644973357988,0.769,1,1.94052217715019e-104
"G6PC",1.21607777307587e-107,0.258297043917958,0.192,0.829,2.43215554615174e-104
"GLCCI1",2.91385437260749e-107,0.303400022667158,0.08,0.712,5.82770874521499e-104
"BMPER",1.89857069544307e-106,0.293209825886516,0.075,0.707,3.79714139088614e-103
"SPDYE2",3.57840056074094e-106,-0.251383323322629,0.042,0.238,7.15680112148189e-103
"IGKC",5.53457073303748e-105,-0.584055365575667,0.024,0.368,1.1069141466075e-101
"PALLD",2.34898467620601e-102,-0.306307579496331,0.058,0.372,4.69796935241203e-99
"TIAM1",1.37865975825589e-101,0.510736599622359,0.158,0.79,2.75731951651178e-98
"NRG3",7.13895221987744e-99,0.780921119528001,0.167,0.799,1.42779044397549e-95
"PLEKHG1",4.59238882481785e-95,0.26992090126532,0.127,0.749,9.1847776496357e-92
"PCDH9",3.92889260691593e-90,0.401802230638348,0.131,0.748,7.85778521383187e-87
"SLC4A4",2.65932005807112e-88,0.570155465141403,0.329,0.98,5.31864011614223e-85
"SDS",1.89937438655292e-86,0.253378600942724,0.359,0.992,3.79874877310584e-83
"STAG3L3",2.76449183946239e-84,0.479319523504606,0.246,0.868,5.52898367892478e-81
"AUTS2",4.49148553589131e-84,0.559294071124347,0.251,0.875,8.98297107178263e-81
"ADGRL2",1.04289926789425e-82,0.530055981194967,0.287,0.915,2.08579853578851e-79
"P4HA1",1.33762415656022e-82,-0.511093683453913,0.057,0.387,2.67524831312043e-79
"AC011287.1",1.52805978188517e-80,-0.327125043160558,0.043,0.388,3.05611956377034e-77
"EDA",7.78708590544716e-80,0.315472357372235,0.082,0.69,1.55741718108943e-76
"AC004053.1",1.60809945653541e-70,0.71806541019613,0.281,0.894,3.21619891307082e-67
"HIF1A",1.06615690014872e-68,-0.313654559898558,0.079,0.404,2.13231380029744e-65
"LBP",1.90654037740138e-68,0.336982012413571,0.16,0.759,3.81308075480276e-65
"SLCO1B3",6.11522137427264e-68,1.00366046573942,0.36,1,1.22304427485453e-64
"HDAC8",3.33122011636205e-65,0.315598435617555,0.258,0.852,6.6624402327241e-62
"SYNE1",5.70793689438819e-62,0.447775333684967,0.193,0.78,1.14158737887764e-58
"LINC01320",2.03621369338928e-61,0.274133006981286,0.074,0.412,4.07242738677855e-58
"FRMD4A",6.0167483176393e-60,0.313409187696142,0.11,0.696,1.20334966352786e-56
"AL451062.3",2.4169678880032e-57,0.271826974181853,0.148,0.729,4.8339357760064e-54
"TMEM56-RWDD3",4.45748048841471e-54,0.648422795265775,0.381,1,8.91496097682941e-51
"SASH1",2.0266343383184e-52,0.385170580984859,0.126,0.702,4.0532686766368e-49
"AC092042.3",8.24732018436633e-50,-0.256415551539417,0.092,0.425,1.64946403687327e-46
"XIST",8.24964753090672e-50,-0.891280562300425,0,0.409,1.64992950618134e-46
"CCNT2-AS1",1.66605852276713e-49,0.466431391902884,0.138,0.701,3.33211704553427e-46
"EGFL7",9.60662201910068e-49,-0.293335710584059,0.011,0.412,1.92132440382014e-45
"SOX5",2.16612405435316e-48,0.327953865711041,0.948,1,4.33224810870631e-45
"HGF",1.48760030980635e-46,0.256805834185855,0.042,0.622,2.97520061961271e-43
"ANXA4",6.2896819542883e-46,0.323511674032864,0.217,0.478,1.25793639085766e-42
"ATP13A3",2.64233493464757e-45,0.283668269814687,0.193,0.468,5.28466986929515e-42
"TRPS1",5.02796895906842e-45,0.390746373271971,0.074,0.645,1.00559379181368e-41
"FGGY",2.76184589793975e-43,0.587041827345411,0.454,0.602,5.52369179587951e-40
"ROBO2",1.00158491698837e-41,0.292844922899384,0.065,0.635,2.00316983397674e-38
"ZFPM2-AS1",1.29317719781833e-41,0.267709483228492,0.029,0.571,2.58635439563666e-38
"ADRA1B",3.79515211898679e-40,0.294317184888298,0.1,0.661,7.59030423797358e-37
"STAB2",5.63027299851605e-40,0.415880963681574,0.072,0.438,1.12605459970321e-36
"C9orf3",1.78214472570321e-39,0.477480213133072,0.65,0.751,3.56428945140641e-36
"DMD",3.43161740908461e-37,1.0197421106906,0.391,0.986,6.86323481816922e-34
"TENM2",8.45368474773435e-37,0.825511990041746,0.402,0.998,1.69073694954687e-33
"SOX6",2.44454766190901e-36,0.792883213509709,0.373,0.949,4.88909532381802e-33
"HBB",3.09157415267588e-34,-0.637842520266412,0.013,0.429,6.18314830535176e-31
"AC239799.1",1.1334753181181e-33,0.273925931744835,0.23,0.762,2.26695063623619e-30
"APP",2.95752162321749e-32,0.265308274766841,0.182,0.487,5.91504324643498e-29
"AC027644.4",9.30088315093731e-32,0.278130272789508,0.185,0.722,1.86017663018746e-28
"UPB1",4.33190504443593e-30,0.613945507485767,0.424,0.992,8.66381008887186e-27
"PLPP3",3.32957926568137e-29,0.481101457310651,0.226,0.755,6.65915853136275e-26
"SLC22A25",9.48334237605535e-29,0.943696886569817,0.416,0.998,1.89666847521107e-25
"CU633967.1",1.08378327558396e-28,0.640600744820152,0.433,0.99,2.16756655116792e-25
"TMTC1",3.67357613634489e-28,0.356510719060305,0.062,0.451,7.34715227268977e-25
"SERPINE1",3.94654263238725e-28,-0.62896802063438,0.038,0.443,7.8930852647745e-25
"NPIPB4",3.87979175849235e-27,0.336141663290268,0.449,0.982,7.75958351698469e-24
"AC011604.2",9.43872063889533e-26,1.55076936968609,0.637,1,1.88774412777907e-22
"LDB2",5.40633947244702e-25,0.806601528282231,0.305,0.833,1.0812678944894e-21
"TPRG1",1.2954924913272e-22,0.391712311668801,0.76,1,2.5909849826544e-19
"CFAP57",2.76086196857548e-22,0.501307377428928,0.124,0.652,5.52172393715096e-19
"ARL15",3.83014360263741e-22,0.447738951919146,0.277,0.788,7.66028720527483e-19
"RAPGEF5",8.12308179568136e-21,0.521603195822649,0.231,0.74,1.62461635913627e-17
"HBA2",1.16805238231623e-20,-0.415973744488548,0.038,0.582,2.33610476463245e-17
"LINC00486",4.44999071993108e-20,0.333772708568408,0.898,0.984,8.89998143986216e-17
"ARHGEF10L",6.52243288827993e-20,0.447960714742857,0.263,0.555,1.30448657765599e-16
"FP671120.1",7.19888504362214e-19,-0.566883508295801,1,1,1.43977700872443e-15
"MEIS2",1.54953012837804e-18,0.359869011321679,0.268,0.557,3.09906025675607e-15
"R3HDM2",9.50214897556286e-18,0.276227091324428,0.314,0.803,1.90042979511257e-14
