"sample","Gene","ID","TF","enhancer"
"HTN","G6PC",136475,"RORA","Nor_E"
"HTN","G6PC",136475,"RORA","HTN_E"
"HTN","G6PC",136475,"TCF7L1","Nor_E"
"HTN","G6PC",136475,"TCF7L1","HTN_E"
"HTN","SERPINE1",70858,"BCL11A","Nor_E"
"HTN","SERPINE1",70858,"BCL11A","HTN_E"
"HTN","SERPINE1",70858,"BCL11B","Nor_E"
"HTN","SERPINE1",70858,"BCL11B","HTN_E"
"HTN","SERPINE1",70858,"ESR2","Nor_E"
"HTN","SERPINE1",70858,"ESR2","HTN_E"
"HTN","SERPINE1",70858,"MLXIPL","HTN_E"
"HTN","GOT1",95152,"ESRRG","Nor_E"
"HTN","GOT1",95152,"ESRRG","HTN_E"
"HTN","GOT1",95152,"RARB","Nor_E"
"HTN","GOT1",95152,"RARB","HTN_E"
"HTN","GOT1",95152,"IKZF1","Nor_E"
"HTN","GOT1",95152,"IKZF1","HTN_E"
"HTN","GOT1",95152,"TCF4","Nor_E"
"HTN","GOT1",95152,"TCF4","HTN_E"
"HTN","GOT1",95152,"EGR3","HTN_E"
"HTN","PALM2-AKAP2",85666,"WT1","Nor_E"
"HTN","PALM2-AKAP2",85666,"WT1","HTN_E"
"HTN","CYP3A4",70606,"PBX1","Nor_E"
"HTN","CYP3A4",70606,"PBX1","HTN_E"
"HTN","CYP3A4",70606,"GATA4","Nor_E"
"HTN","CYP3A4",70606,"GATA4","HTN_E"
"HTN","CYP3A4",70606,"RORB","Nor_E"
"HTN","CYP3A4",70606,"RORB","HTN_E"
"HTN","CYP3A4",70606,"FOXP1","Nor_E"
"HTN","CYP3A4",70606,"FOXP1","HTN_E"
"HTN","CYP3A4",70606,"RORA","Nor_E"
"HTN","CYP3A4",70606,"RORA","HTN_E"
"HTN","PARD3",91127,"WT1","Nor_E"
"HTN","PARD3",91127,"WT1","HTN_E"
"Normal","VWA1",135,"RUNX1","Nor_E"
"Normal","VWA1",135,"RUNX1","HTN_E"
"Normal","VWA1",135,"SMAD9","Nor_E"
"Normal","VWA1",135,"SMAD9","HTN_E"
"Normal","VWA1",136,"HIF1A","Nor_E"
"Normal","VWA1",136,"HIF1A","HTN_E"
"Normal","VWA1",136,"WT1","Nor_E"
"Normal","VWA1",136,"WT1","HTN_E"
"Normal","VWA1",136,"EGR3","HTN_E"
"Normal","PPM1J",8221,"TCF4","Nor_E"
"Normal","PPM1J",8221,"TCF4","HTN_E"
"Normal","PPM1J",8221,"WT1","Nor_E"
"Normal","PPM1J",8221,"WT1","HTN_E"
"Normal","PPM1J",8221,"EGR3","HTN_E"
"Normal","PPM1J",8223,"RARB","Nor_E"
"Normal","PPM1J",8223,"RARB","HTN_E"
"Normal","PPM1J",8223,"TBX20","Nor_E"
"Normal","PPM1J",8223,"TBX20","HTN_E"
"Normal","VSNL1",16807,"GLI2","Nor_E"
"Normal","VSNL1",16807,"GLI2","HTN_E"
"Normal","VSNL1",16807,"GLIS3","Nor_E"
"Normal","VSNL1",16807,"GLIS3","HTN_E"
"Normal","VSNL1",16807,"RARB","Nor_E"
"Normal","VSNL1",16807,"RARB","HTN_E"
"Normal","VSNL1",16807,"ESR2","Nor_E"
"Normal","VSNL1",16807,"ESR2","HTN_E"
"Normal","VSNL1",16807,"HIF1A","Nor_E"
"Normal","VSNL1",16807,"HIF1A","HTN_E"
"Normal","VSNL1",16807,"EGR3","HTN_E"
"Normal","ABCG5",18606,"EBF1","Nor_E"
"Normal","ABCG5",18606,"EBF1","HTN_E"
"Normal","ABCG5",18606,"GLI2","Nor_E"
"Normal","ABCG5",18606,"GLI2","HTN_E"
"Normal","ABCG5",18606,"NR1H4","Nor_E"
"Normal","ABCG5",18606,"NR1H4","HTN_E"
"Normal","ABCG5",18606,"ESR2","Nor_E"
"Normal","ABCG5",18606,"ESR2","HTN_E"
"Normal","SPR",20358,"EBF1","Nor_E"
"Normal","SPR",20358,"EBF1","HTN_E"
"Normal","SPR",20358,"WT1","Nor_E"
"Normal","SPR",20358,"WT1","HTN_E"
"Normal","SPR",20357,"RUNX1","Nor_E"
"Normal","SPR",20357,"RUNX1","HTN_E"
"Normal","SPR",20357,"TCF4","Nor_E"
"Normal","SPR",20357,"TCF4","HTN_E"
"Normal","BAP1",32339,"BCL11A","Nor_E"
"Normal","BAP1",32339,"BCL11A","HTN_E"
"Normal","BAP1",32339,"ESRRG","Nor_E"
"Normal","BAP1",32339,"ESRRG","HTN_E"
"Normal","BAP1",32339,"MEIS2","Nor_E"
"Normal","BAP1",32339,"MEIS2","HTN_E"
"Normal","BAP1",32339,"BCL11B","Nor_E"
"Normal","BAP1",32339,"BCL11B","HTN_E"
"Normal","BAP1",32339,"WT1","Nor_E"
"Normal","BAP1",32339,"WT1","HTN_E"
"Normal","BAP1",32340,"ESRRG","Nor_E"
"Normal","BAP1",32340,"ESRRG","HTN_E"
"Normal","BAP1",32340,"NR1H4","Nor_E"
"Normal","BAP1",32340,"NR1H4","HTN_E"
"Normal","BAP1",32340,"NR4A1","Nor_E"
"Normal","BAP1",32340,"NR4A1","HTN_E"
"Normal","BAP1",32340,"WT1","Nor_E"
"Normal","BAP1",32340,"WT1","HTN_E"
"Normal","BAP1",32340,"PPARG","Nor_E"
"Normal","BAP1",32340,"PPARG","HTN_E"
"Normal","CHST13",35417,"WT1","Nor_E"
"Normal","CHST13",35417,"WT1","HTN_E"
"Normal","CHST13",35416,"WT1","Nor_E"
"Normal","CHST13",35416,"WT1","HTN_E"
"Normal","CHST13",35416,"RUNX3","Nor_E"
"Normal","CHST13",35416,"RUNX3","HTN_E"
"Normal","PRELID1",55468,"PPARG","Nor_E"
"Normal","PRELID1",55468,"PPARG","HTN_E"
"Normal","PRELID1",55469,"ESRRG","Nor_E"
"Normal","PRELID1",55469,"ESRRG","HTN_E"
"Normal","PRELID1",55469,"NR4A1","Nor_E"
"Normal","PRELID1",55469,"NR4A1","HTN_E"
"Normal","PRELID1",55469,"ETS1","Nor_E"
"Normal","PRELID1",55469,"ETS1","HTN_E"
"Normal","PRELID1",55469,"ERG","Nor_E"
"Normal","PRELID1",55469,"ERG","HTN_E"
"Normal","PRELID1",55469,"WT1","Nor_E"
"Normal","PRELID1",55469,"WT1","HTN_E"
"Normal","PRELID1",55469,"MLXIPL","HTN_E"
"Normal","PRELID1",55469,"FLI1","Nor_E"
"Normal","PRELID1",55469,"FLI1","HTN_E"
"Normal","MAGI2-AS3",69789,"BCL11A","Nor_E"
"Normal","MAGI2-AS3",69789,"BCL11A","HTN_E"
"Normal","MAGI2-AS3",69789,"RUNX1","Nor_E"
"Normal","MAGI2-AS3",69789,"RUNX1","HTN_E"
"Normal","MAGI2-AS3",69789,"BCL11B","Nor_E"
"Normal","MAGI2-AS3",69789,"BCL11B","HTN_E"
"Normal","MAGI2-AS3",69789,"RUNX2","Nor_E"
"Normal","MAGI2-AS3",69789,"RUNX2","HTN_E"
